name,category,instructions,glass,glass-size,ingredients,measurements
Frozen Apple,Cocktail Classics,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Applejack,  Lime Juice,  Sugar,  Egg White","1 1/2 oz  Applejack, 1 oz  Lime Juice, 1 oz  Sugar, 1/2 oz  Egg White"
Frisky Witch,Vodka,Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.,Old-Fashioned Glass,6 to 8 ounces," Vodka,  Sambuca,  Black licorice stick","1 oz  Vodka, 1 oz  Sambuca,   Black licorice stick"
Froth Blower Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Gin,  Grenadine","1 oz  Egg White, 2 oz  Gin, 1 oz  Grenadine"
French Martini,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Black raspberry liqueur,  Pineapple Juice","1 1/2 oz  Vodka, 3/4 oz  Black raspberry liqueur, 3/4 oz  Pineapple Juice"
Flatiron Martini,Vodka,Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with orange.,Cocktail Glass,6 or more ounces," Splash triple sec,  Orange-flavored vodka,  Lillet Blanc","1 oz  Splash triple sec, 1 1/2 oz  Orange-flavored vodka, 1 1/2 oz  Lillet Blanc,  Orange wheel "
Favourite Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Apricot-Flavored Brandy,  Dry Vermouth,  Lemon Juice,  Gin","3/4 oz  Apricot-Flavored Brandy, 3/4 oz  Dry Vermouth, 3/4 oz  Lemon Juice, 1/4 oz  Gin"
Electric Jam,Vodka,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.,Collins Glass,14 to 16 ounces," Vodka,  Blue curacao,  Simple Syrup,  Lemon juice,  Lime soda","1 1/4 oz  Vodka, 1/2 oz  Blue curacao, 1 oz  Simple Syrup, 1 oz  Lemon juice,   Lime soda"
Fairy Belle Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Grenadine,  Apricot-Flavored Brandy,  Gin","1 oz  Egg White, 1 oz  Grenadine, 3/4 oz  Apricot-Flavored Brandy, 1 1/2 oz  Gin"
Duke Cocktail,Cocktail Classics,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir.",Champagne Flute,6 to 8 ounces," Triple Sec,  Orange Juice,  Lemon Juice,  Maraschino,  Whole Egg,  Chilled Champagne","1/2 oz  Triple Sec, 1 oz  Orange Juice, 2 oz  Lemon Juice, 1/2 oz  Maraschino, 1 oz  Whole Egg,   Chilled Champagne"
Dreamy Dorini Smoking Martini,Vodka,Stir with ice and strain into a chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Vodka,  Smoky Scotch, Pastis","2 oz  Vodka, 1/2 oz  Smoky Scotch, such as Laphroaig, 4 oz  Pastis,  Lemon twist "
Dubonnet Highball,Cocktail Classics,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Add a twist of lemon peel, if desired, and stir.",Highball Glass,7 to 10 ounces," Dubonnet , ginger ale, carbonated water","2 oz  Dubonnet ,  ginger ale,  carbonated water, twist of lemon "
Dubonnet Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Orange Juice,  Lemon Juice,  cherry-flavored brandy,  Dubonnet","1/2 oz  Orange Juice, 1/4 oz  Lemon Juice, 1 oz  cherry-flavored brandy, 2 oz  Dubonnet"
Dubonnet Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Dubonnet,  Gin","1 1/2 oz  Dubonnet, 3/4 oz  Gin, 1 oz  Orange Bitters (if desired)"
Doctor Cook,Cocktail Classics,Shake with ice and strain into wine glass.,Red-Wine Glass,12 to 24 ounces," Gin,  Lemon Juice,  Maraschino,  Egg White","3/4 oz  Gin, 1 oz  Lemon Juice, 1 oz  Maraschino, 1 oz  Egg White"
Desert Sunrise,Vodka,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14 to 16 ounces," Vodka,  Lemon juice,  Pineapple Juice,  Grenadine","1 1/4 oz  Vodka, 1 1/2 oz  Lemon juice, 1 1/2 oz  Pineapple Juice, 1 oz  Grenadine"
Dillatini,Cocktail Classics,A Martini substituting a dilly bean in place of the olive. See Martini on page 130.,Cocktail Glass,6 or more ounces," Gin,  Dry Vermouth","1 1/2 oz  Gin, 3/4 oz  Dry Vermouth"
Devil's Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Port,  Dry Vermouth","1/2 oz  Lemon Juice, 1 1/2 oz  Port, 1 1/2 oz  Dry Vermouth"
Derby Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Whole Egg,  Scotch,  Triple Sec","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1  Whole Egg, 2 oz  Scotch, 1 oz  Triple Sec"
Cubeltini,Vodka,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint sprig.",Cocktail Glass,6 or more ounces," Cucumber slices,  mint leaves,  Simple Syrup,  Vodka,  Lemon juice,   mint sprig","3 oz  Cucumber slices, 5  mint leaves, 1 1/2 oz  Simple Syrup, 2 oz  Vodka, 1 oz  Lemon juice,    mint sprig"
Crocodile Cooler,Vodka,"Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with pineapple and cherry or lime wheel. Serve with a straw.",Hurricane Glass,14 to 20 ounces," Citrus-flavored vodka,  Melon liqueur,  Triple Sec,  Simple Syrup,  Lemon juice,  Lime soda, pineapple wedge, maraschino cherry or lime wheel","1 1/2 oz  Citrus-flavored vodka, 1 oz  Melon liqueur, 3/4 oz  Triple Sec, 3/4 oz  Simple Syrup, 1 oz  Lemon juice,   Lime soda, pineapple wedge, maraschino cherry or lime wheel"
Cosmopolitan,Vodka,Shake well with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces," Vodka,  Lemon juice,  Triple Sec,  Cranberry Juice,  Lime wheel","1 1/2 oz  Vodka, 1/2 oz  Lemon juice, 1/2 oz  Triple Sec, 1/2 oz  Cranberry Juice,   Lime wheel"
Dream Cocktail,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Triple Sec,  Anisette","1 1/2 oz  Brandy, 3/4 oz  Triple Sec, 1 oz  Anisette"
Jean Lafitte Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Triple Sec,  Anis,  Powdered Sugar,  Egg Yolk","1 oz  Gin, 1/2 oz  Triple Sec, 1/2 oz  Anis, 1 oz  Powdered Sugar, 1 oz  Egg Yolk"
Japanese Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Serve with slice of pineapple.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Blended whiskey,  Port,  Egg White","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 1/2 oz  Blended whiskey, 1 oz  Port, 1 oz  Egg White"
Citronella Cooler,Vodka,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14 to 16 ounces," Citrus-flavored vodka,  Lemon juice,  Lemonade,  Cranberry Juice,  Lime wedge","1 oz  Citrus-flavored vodka, 1 oz  Lemon juice, 2 oz  Lemonade, 1 oz  Cranberry Juice,   Lime wedge"
North Pole Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6 or more ounces," Egg White,  Lemon Juice,  Maraschino,  Gin","1 oz  Egg White, 1/2 oz  Lemon Juice, 1/2 oz  Maraschino, 1 oz  Gin"
The Cinquecento,Vodka,Shake with ice. Strain through wire sieve into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Bison grass vodka (Zubrowka),  Benedictine,  Campari,   grapefruit juice,  Angostura Bitters,  Grapefruit twist","1 1/2 oz  Bison grass vodka (Zubrowka), 1/2 oz  Benedictine, 1/2 oz  Campari, 3/4 oz   grapefruit juice, 1 oz  Angostura Bitters,   Grapefruit twist"
New Orleans Gin Fizz,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Lime Juice,  Powdered Sugar,  Egg White,  Gin,  Light cream","1/2 oz  Lemon Juice, 1/2 oz  Lime Juice, 1 oz  Powdered Sugar, 1 oz  Egg White, 2 oz  Gin, 1 oz  Light cream, 1/2 oz"
Napoleon,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Curacao,  Dubonnet","2 oz  Gin, 1/2 oz  Curacao, 1/2 oz  Dubonnet"
Zombie,Rum - Daiquiris,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14 to 16 ounces," Gold rum,  151-Proof Rum,  Light Rum,  Lemon juice, lemon juice, pineapple juie, passion fruit syrup,  Demerara Syrup,  Tiki, mint sprig","1 oz  Gold rum, 1 oz  151-Proof Rum, 1 oz  Light Rum, 1 oz  each Lemon juice, lemon juice, pineapple juie, and passion fruit syrup, 2 oz  Demerara Syrup, 1 oz  Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish:  mint sprig"
Kiss the Boys Goodbye,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sloe gin,  Brandy,  Egg White,  Lemon Juice","3/4 oz  Sloe gin, 3/4 oz  Brandy, 1/2 oz  Egg White, 1 oz  Lemon Juice"
X.Y.Z. Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Triple Sec,  Lemon juice","1 oz  Light Rum, 1/2 oz  Triple Sec, 1/2 oz  Lemon juice"
K.G.B. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Kummel,  Gin,  Apricot-Flavored Brandy,  Lemon Juice","1/2 oz  Kummel, 1 1/2 oz  Gin, 1/4 oz  Apricot-Flavored Brandy, 1/4 oz  Lemon Juice"
Eye-Opener,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces," Egg Yolk,  Powdered Sugar,  Anis,  Triple Sec,  White creme de cacao,  Light Rum","1 oz  Egg Yolk, 1/2 oz  Powdered Sugar, 1 oz  Anis, 1 oz  Triple Sec, 1 oz  White creme de cacao, 2 oz  Light Rum"
Wiki Waki Woo,Rum - Daiquiris,"Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Add orange and cherry.",Hurricane Glass,14 to 20 ounces," Light Rum,  151-Proof Rum,Vodka, tequila blanco, triple sec,  Amaretto, Lemon juice, pineapple juice, cranberry juice,  Orange wheel, maraschino cherry","1/2 oz  Light Rum, 1/2 oz  151-Proof Rum, 1/2 oz  each Vodka, tequila blanco, triple sec, 1 oz  Amaretto, 1 oz  each Lemon juice, pineapple juice, cranberry juice,   Orange wheel, maraschino cherry"
Elk's Own Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Add a strip of pineapple.,Cocktail Glass,6 or more ounces," Egg White,  Blended whiskey,  Port,  Lemon Juice,  Powdered Sugar","1 oz  Egg White, 1 1/2 oz  Blended whiskey, 3/4 oz  Port, 1/4 oz  Lemon Juice, 1 oz  Powdered Sugar"
Eggnog Supreme,Cocktail Classics,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg.",Punch Cup,3 to 4 ounces," Medium Eggs,  Sugar,  Whole milk,  Heavy Cream, Whipped,  Cognac,  Powdered Nutmeg","1 oz  Medium Eggs, 1 oz  Sugar, 1 1/2 oz  Whole milk, 1 oz  Heavy Cream, Whipped, 1 750-ml  Cognac,   Powdered Nutmeg"
Egg Sour,Cocktail Classics,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Whole Egg,  Powdered Sugar,  Lemon Juice,  Brandy,  Triple Sec","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1/2 oz  Lemon Juice, 2 oz  Brandy, 1/4 oz  Triple Sec"
White Lion Cocktail,Cocktail Classics,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Lemon juice,  Simple Syrup,  Grenadine,  Angostura Bitters","1 1/2 oz  Light Rum, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1 oz  Grenadine, 2 oz  Angostura Bitters"
White Lily Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Triple Sec,  Gin,  Anisette","3/4 oz  Light Rum, 3/4 oz  Triple Sec, 3/4 oz  Gin, 1 oz  Anisette"
Ice Cream Flip,Rum - Daiquiris,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Maraschino,  Triple Sec","1 oz  Whole Egg, 1 oz  Maraschino, 1 oz  Triple Sec, 1 small Vanilla Ice Cream "
Outrigger,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Peach-flavored brandy,  Lime Vodka,  Pineapple Juice","1 oz  Peach-flavored brandy, 1 oz  Lime Vodka, 1 oz  Pineapple Juice"
Opera Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Maraschino,  Dubonnet,  Gin","1 oz  Maraschino, 1/2 oz  Dubonnet, 1 1/2 oz  Gin"
Virginia Dare,Rum - Daiquiris,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with remaining pear slice.,Cocktail Glass,6 or more ounces," Ripe pear,  Dark rum,  Benedictine,  Angostura Bitters","2 oz  Ripe pear, 2 oz  Dark rum, 1/2 oz  Benedictine, 2 oz  Angostura Bitters"
Opening Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Grenadine,  Sweet Vermouth,  Blended whiskey","1/2 oz  Grenadine, 1/2 oz  Sweet Vermouth, 1 1/2 oz  Blended whiskey"
Queen Bee,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Vodka,  Coffee-flavored brandy,  Cream sherry","1 1/2 oz  Lime Vodka, 1 oz  Coffee-flavored brandy, 1/2 oz  Cream sherry"
Van Vleet,Rum - Daiquiris,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Maple Syrup,  Lemon juice","3 oz  Light Rum, 1 oz  Maple Syrup, 1 oz  Lemon juice"
Zaza Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces," Gin,  Dubonnet","1 1/2 oz  Gin, 3/4 oz  Dubonnet"
The Vacation Cocktail,Rum - Daiquiris,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and float spiced rum on top. Garnish with mango.",Cocktail Glass,6 or more ounces," Peeled,chopped  ginger,  Lemon juice,Simple Syrup, light rum, dark rum,  Mango juice,Cranberry Juice, orange juice, spiced rum,  Mango slice","1 oz  Peeled and chopped  ginger, 3/4 oz  Lemon juice, 1/2 oz  each Simple Syrup, light rum, dark rum, 1 oz  Mango juice, 1/2 oz  each Cranberry Juice, orange juice, spiced rum,   Mango slice"
Dolores,Brandy,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,Champagne Flute,6 to 8 ounces," Brandy,  Cherry liqueur,  White or dark creme de cacao,  Egg White,  grated nutmeg","1 oz  Brandy, preferably Spanish, 1 oz  Cherry liqueur, 1 oz  White or dark creme de cacao, 1 oz  Egg White,   ly grated nutmeg"
Vesuvio,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Lemon Juice,  Powdered Sugar,  Egg White,  Sweet Vermouth","1 oz  Light Rum, 1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1/2 oz  Egg White, 1/2 oz  Sweet Vermouth"
Urban Anxiety,Rum,Stir with ice and strain into chilled cocktail glass. Flame grapefruit twist and add.,Cocktail Glass,6 or more ounces," Cachaca,  Sweet Vermouth,  Cynar,  Angostura Bitters,  Grapefruit twist, flamed","1 oz  Cachaca, 1 oz  Sweet Vermouth, 3/4 oz  Cynar, 2 oz  Angostura Bitters,   Grapefruit twist, flamed"
Virgin,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  White creme de menthe,  Forbidden Fruit","1 oz  Gin, 1/2 oz  White creme de menthe, 1 oz  Forbidden Fruit"
Tropica Cocktail,Rum - Daiquiris,Mix ingredients in ice-filled Collins glass. Add pineapple wedge.,Collins Glass,14 to 16 ounces," Light Rum,  Pineapple Juice,   grapefruit juice,  Grenadine,  Pineapple wedge","2 oz  Light Rum, 3 oz  Pineapple Juice, 1 oz   grapefruit juice, 1 oz  Grenadine,   Pineapple wedge"
Vermouth Cassis,Cocktail Classics,Stir in highball glass with ice cubes and Fill with carbonated water. Stir again and serve.,Highball Glass,7 to 10 ounces," Creme de Cassis,  Dry Vermouth","3/4 oz  Creme de Cassis, 1 1/2 oz  Dry Vermouth"
Verboten,Cocktail Classics,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6 or more ounces," Gin,  Forbidden Fruit,  Orange Juice,  Lemon Juice","1 1/2 oz  Gin, 1 oz  Forbidden Fruit, 1 oz  Orange Juice, 1 oz  Lemon Juice"
Velvet Hammer No. 2,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Strega,  White creme de cacao,  Light cream","1 1/2 oz  Strega, 1 oz  White creme de cacao, 1 oz  Light cream"
Velvet Hammer No. 1,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Creme de Cacao,  Light cream","1 1/2 oz  Vodka, 1 oz  Creme de Cacao, 1 oz  Light cream"
Ulanda Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Triple Sec,  Anis","1 1/2 oz  Gin, 3/4 oz  Triple Sec, 1/4 oz  Anis"
Torridora Cocktail,Rum - Daiquiris,Shake first three ingredients with ice and strain into chilled cocktail glass. Float 151-proof rum on top.,Cocktail Glass,6 or more ounces," Light Rum,  Coffee-flavored brandy,  half-and-half,  151-Proof Rum","1 1/2 oz  Light Rum, 1/2 oz  Coffee-flavored brandy, 1 1/2 oz  half-and-half, 1 oz  151-Proof Rum"
Boston Sour,Cocktail Classics,Shake with cracked ice and strain into sour glass. Add a slice of lemon and a cherry.,Sour Glass,5 to 6 ounces," Lemon Juice,  Powdered Sugar,  Blended whiskey,  Egg White","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 2 oz  Blended whiskey, 1 oz  Egg White"
Three Miller Cocktail,Rum - Daiquiris,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"  cherry tomatoes,  Dark rum,  Lemon juice,  Simple Syrup,  Angostura Bitters","3 oz   cherry tomatoes, 2 oz  Dark rum, 1 oz  Lemon juice, 1 oz  Simple Syrup, 1 oz  Angostura Bitters"
Bird-of-Paradise Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Egg White,  Grenadine,  Gin","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Egg White, 1 oz  Grenadine, 2 oz  Gin"
Biffy Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Swedish Punch,  Gin","1/2 oz  Lemon Juice, 1 oz  Swedish Punch, 1 1/2 oz  Gin"
Between-The-Sheets Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Brandy,  Triple Sec,  Light Rum","1/4 oz  Lemon Juice, 1/2 oz  Brandy, 1/2 oz  Triple Sec, 1/2 oz  Light Rum"
Third-Rail Cocktail,Rum - Daiquiris,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Apple Brandy,  Brandy,  Anisette","3/4 oz  Light Rum, 3/4 oz  Apple Brandy, 3/4 oz  Brandy, 1/4 oz  Anisette"
Bentley,Cocktail Classics,Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces," Apple Brandy,  Dubonnet","1 1/2 oz  Apple Brandy, 1 oz  Dubonnet"
Tahiti Club,Rum - Daiquiris,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Lemon juice,  Lemon juice,  Pineapple Juice,  Maraschino liqueur,  Lemon wheel","2 oz  Light Rum, 1/2 oz  Lemon juice, 1/2 oz  Lemon juice, 1/2 oz  Pineapple Juice, 1/4 oz  Maraschino liqueur,   Lemon wheel"
